Sample.me,ImmGen.Nomenclature,Cell.Family,Organ,Sorting.Markers,Organism.Treatment,Lab,Note,Cell.Treatment,Genetic.Variation,sample_id,Well,Owner,Batch_Number,Total_read_pairs,Uniquely_mapped_pairs,Uniquely_mapped_pct,Num_genes_over_ten,Num_genes_over_zero,TIN_mean,TIN_median,TIN_stdev,Reason
MF.PC#8,MF.PC#45,Macrophage,Peritoneal Cavity,"F4/80	 ICAM2",none,Angeli,none,none,none,000008544769_C02,C02,Veronique Angeli,Batch36,15247940,10059462,65.97,10729,17859,58.23038971,62.21923395,19.54166709,
MF.PC#9,MF.PC#46,Macrophage,Peritoneal Cavity,"F4/80	 ICAM2",none,Angeli,none,none,none,000008544769_D02,D02,Veronique Angeli,Batch36,11449500,7232148,63.17,10039,16711,53.80389322,56.57836023,20.62045336,
MF.BM#1,MF.6Clo.BM#1,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,none,Blander,none,none,none,000008508669_G01,G01,Andrew Kent,Batch24,14428785,9846397,68.24,15539,29391,58.36696033,61.73876394,18.96390502,Contamination Analysis
MF.BM#2,MF.6Clo.BM#2,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,none,Blander,none,none,none,000008508669_G12,G12,Andrew Kent,Batch24,3071,673,21.91,0,,0,0,0,Total read pairs (<2million)
MF.BM#3,MF.6Clo.BM#3,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,none,Blander,none,none,none,000008508669_A02,A02,Andrew Kent,Batch24,14203719,8007270,56.37,14062,32840,45.20684643,46.07218785,20.02581911,Contamination Analysis
MF.6Clo.BM#4,MF.6Clo.BM#4,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,none,Blander,none,none,none,000008550869_F11,F11,Baosen Jia,Batch42,7755349,5551603,71.58,10636,16039,60.93904832,65.88542086,21.76507203,
MF.6Clo.BM#5,MF.6Clo.BM#5,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,none,Blander,none,none,none,000008550869_G11,G11,Baosen Jia,Batch42,9656084,6805664,70.48,10943,16000,62.561644,68.01077506,21.50482473,
MF.6Clo.BM#6,MF.6Clo.BM#6,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,none,Blander,none,none,none,000008550869_H11,H11,Baosen Jia,Batch42,5886952,4116289,69.92,9838,14998,57.97875139,62.72984214,23.14386553,
MF.6Clo.BM#7,MF.6Clo.BM#7,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,none,Blander,none,none,none,000008550869_A12,A12,Baosen Jia,Batch42,1809,1097,60.64,7,554,30.78455721,30.78455721,4.553758936,Total read pairs (<2million)
MF.PC#14,MF.PC#30,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,Blander,none,none,none,000008550869_B12,B12,Baosen Jia,Batch42,1042066,381369,36.6,2425,10417,15.95552593,9.602469349,17.66990703,Total read pairs (<2million)
MF.PC#15,MF.PC#31,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,Blander,none,none,none,000008550869_C12,C12,Baosen Jia,Batch42,8743275,6314772,72.22,9442,14587,52.76316174,55.66078896,25.17391571,Replicate Analysis
MF.PC#16,MF.PC#32,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,Blander,none,none,none,000008550869_D12,D12,Baosen Jia,Batch42,3632254,2606396,71.76,7737,12899,45.44827619,45.00284657,26.53958033,Num_genes>10 reads(<8000)
F.PC#1,MF.F.PC#1,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,000008555669_E04,E04,Kumba Seddu,Batch43,12344221,7894050,63.95,10044,15706,54.2767602,57.17939287,20.29729074,
F.PC#2,MF.F.PC#2,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,000008555669_F04,F04,Kumba Seddu,Batch43,20109770,13236438,65.82,11581,19116,60.65487711,64.53448366,18.80552339,
F.PC#3,MF.F.PC#3,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,000008555669_G04,G04,Kumba Seddu,Batch43,8416877,5296525,62.93,9711,15786,51.4328721,53.58835918,20.67881649,
MF.Fem.PC#1,MF.F.PC#4,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,SSF1856_H10,H10,CBDM,Batch21,11155820,7634739,68.44,11178,17111,60.81124135,64.66340232,18.43462448,Replicate Analysis
MF.Fem.PC#2,MF.F.PC#5,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,SSF1857_G10,G10,CBDM,Batch21,6744734,4552071,67.49,10145,15781,57.05393925,60.67951903,19.61706463,Replicate Analysis
MF.PC#b3,MF.PC#47,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,SSF1856_A11,A11,CBDM,Batch21,11131170,7388116,66.37,11139,16715,58.73549755,63.41531921,20.96305446,
MF.PC#b4,MF.PC#48,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,SSF1857_H10,H10,CBDM,Batch21,5295651,3503292,66.15,9884,16822,52.03176857,54.02595001,20.48360848,
MF.Pc.Listeria.ip.Day0#1,MF.PC#49,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,000008508569_B01,B01,Yiqing Qi,Batch24,10409028,6778238,65,11053,,61.42489249,65.95344021,18.75472796,
MF.Pc.Listeria.ip.Day0#2,MF.PC#50,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,000008508569_E02,E02,Yiqing Qi,Batch24,10675517,6838730,64,11233,,60.90250029,65.16867972,18.87127062,
M.PC#1,MF.PC#51,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,000008555669_B04,B04,Kumba Seddu,Batch43,13033396,8413573,64.55,10511,17242,53.98487991,56.52176446,20.43889819,
M.PC#2,MF.PC#52,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,000008555669_C04,C04,Kumba Seddu,Batch43,16999877,11166856,65.69,11037,17918,59.1414056,62.90704969,19.38142631,
M.PC#3,MF.PC#53,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,none,CBDM,none,none,none,000008555669_D04,DO4,Kumba Seddu,Batch43,1267667,458670,36.18,64,3083,4.390555941,0,10.39501245,Total read pairs (<2million)
F.Sp#1,MF.RP.F.Sp#1,Macrophage,Spleen,TCRB-MHCIIint-F480hi,none,CBDM,none,none,none,000008555669_C05,C05,Kumba Seddu,Batch43,18195273,12877891,70.78,13290,22775,62.27269698,66.06477898,17.57746035,Contamination Analysis
F.Sp#2,MF.RP.F.Sp#2,Macrophage,Spleen,TCRB-MHCIIint-F480hi,none,CBDM,none,none,none,000008555669_D05,DO5,Kumba Seddu,Batch43,13060340,6872925,52.62,10840,17966,53.12494704,55.43019918,20.78681549,Replicate Analysis
F.Sp#3,MF.RP.F.Sp#3,Macrophage,Spleen,TCRB-MHCIIint-F480hi,none,CBDM,none,none,none,000008555669_E05,E05,Kumba Seddu,Batch43,11481613,7670732,66.81,12037,20731,55.92229126,58.31407926,19.74289826,Contamination Analysis
M.Sp#1,MF.RP.Sp#1,Macrophage,Spleen,TCRB-MHCIIint-F480hi,none,CBDM,none,none,none,000008555669_H04,H04,Kumba Seddu,Batch43,14192063,9884512,69.65,12680,21376,61.46945655,64.91390961,18.24132221,Contamination Analysis
M.Sp#2,MF.RP.Sp#2,Macrophage,Spleen,TCRB-MHCIIint-F480hi,none,CBDM,none,none,none,000008555669_A05,A05,Kumba Seddu,Batch43,16132674,10861262,67.32,12777,21785,62.20255555,66.03204957,18.22823076,Contamination Analysis
M.Sp#3,MF.RP.Sp#3,Macrophage,Spleen,TCRB-MHCIIint-F480hi,none,CBDM,none,none,none,000008555669_B05,B05,Kumba Seddu,Batch43,1873665,511558,27.3,192,8314,1.288033735,0,3.524013876,Total read pairs (<2million)
EMP.E10.5YS#1,EMP.E10.5.YS#1,Macrophage,yolk sac,c-kit+ CD41+ CD16/32+,none,Choi,none,none,none,000008530769_E12,E12,Kyunghee Choi,Batch29,10613036,5648404,53.22,10350,17538,55.17673507,58.71386627,21.94263739,
EMP.E10.5YS#2,EMP.E10.5.YS#2,Macrophage,yolk sac,c-kit+ CD41+ CD16/32+,none,Choi,none,none,none,000008530769_F12,F12,Kyunghee Choi,Batch29,10366917,5567652,53.71,10235,17446,54.86311709,58.64358757,22.25063406,
MF.D6EB#1,MF.d6.EB#1,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,none,Choi,none,none,none,000008530769_E11,E11,Kyunghee Choi,Batch29,12898688,7300959,56.6,10188,16621,55.04325569,57.99483962,21.0187739,
MF.D6EB#2,MF.d6.EB#2,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,none,Choi,none,none,none,000008530769_F11,F11,Kyunghee Choi,Batch29,15268106,8833424,57.86,10455,17190,56.67501204,59.98930264,20.3910069,
MF.D6EB#3,MF.d6.EB#3,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,none,Choi,Sort the macrophages after replating D6EBs  in methylcellulose,none,none,000008550669_G09,G09,Kyunghee Choi,Batch41,9008190,5329162,59.16,9075,14797,49.01682497,50.30423716,22.13730867,Replicate Analysis
MF.D6EB#4,MF.d6.EB#4,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,none,Choi,Sort the macrophages after replating D6EBs  in methylcellulose,none,none,000008550669_H09,H09,Kyunghee Choi,Batch41,13371459,8203368,61.35,9596,16408,52.28598353,54.66971349,21.30906961,Replicate Analysis
MF.D6EB#5,MF.d6.EB#5,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,none,Choi,Sort the macrophages after replating D6EBs  in methylcellulose,none,none,000008550669_A10,A10,Kyunghee Choi,Batch41,11309021,6741884,59.62,9082,16195,49.42029809,50.95554204,22.1483894,Batch Effect (Continuing Analysis)
MF.D6EB#6,MF.d6.EB#6,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,none,Choi,Sort the macrophages after replating D6EBs  in methylcellulose,none,none,000008550669_B10,B10,Kyunghee Choi,Batch41,7737163,4647154,60.06,8580,14430,46.13233968,46.77744202,22.05997839,Batch Effect (Continuing Analysis)
MF.D8EB#1,MF.d8.EB#1,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,none,Choi,none,none,none,000008530769_G11,G11,Kyunghee Choi,Batch29,13022193,7532815,57.85,10099,16112,54.03893208,57.04754887,21.0800687,
MF.D8EB#2,MF.d8.EB#2,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,none,Choi,none,none,none,000008530769_H11,H11,Kyunghee Choi,Batch29,11523680,6512261,56.51,9570,16228,48.95875033,50.08730761,22.54322683,
MF.E10.5YS#1,MF.E10.5.YS#1,Macrophage,yolk sac,CD45+CD11b+ F4/80+,none,Choi,none,none,none,000008530769_C12,C12,Kyunghee Choi,Batch29,7673826,5006925,65.25,9676,13053,51.31260254,54.62720627,23.28335107,
MF.E10.5YS#2,MF.E10.5.YS#2,Macrophage,yolk sac,CD45+CD11b+ F4/80+,none,Choi,none,none,none,000008530769_D12,D12,Kyunghee Choi,Batch29,4985283,3171422,63.62,9664,13684,52.93016509,56.17679485,22.46599339,
MF.E10.5YS#3,MF.E10.5.YS#3,Macrophage,yolk sac,CD45+CD11b+ F4/80+,none,Choi,Sort the macrophages from the E10.5 yolk sac directly,none,none,000008550669_C11,C11,Kyunghee Choi,Batch41,11590934,6340922,54.71,9544,16598,53.32608221,56.73463403,21.99294398,Batch Effect (Continuing Analysis)
MF.E10.5YS#4,MF.E10.5.YS#4,Macrophage,yolk sac,CD45+CD11b+ F4/80+,none,Choi,Sort the macrophages from the E10.5 yolk sac directly,none,none,000008550669_D11,D11,Kyunghee Choi,Batch41,6870141,3891430,56.64,8578,15124,48.15448571,49.70507371,22.2741171,Batch Effect (Continuing Analysis)
MF.E10.5YS#5,MF.E10.5.YS#5,Macrophage,yolk sac,CD45+CD11b+ F4/80+,none,Choi,Sort the macrophages from the E10.5 yolk sac directly,none,none,000008550669_E11,E11,Kyunghee Choi,Batch41,16700268,9361849,56.06,10298,17929,56.43360152,59.48341283,21.07135013,Batch Effect (Continuing Analysis)
MF.E10.5YS#6,MF.E10.5.YS#6,Macrophage,yolk sac,CD45+CD11b+ F4/80+,none,Choi,Sort the macrophages from the E10.5 yolk sac directly,none,none,000008550669_F11,F11,Kyunghee Choi,Batch41,11632874,6377995,54.83,9529,17493,52.08496272,54.38100279,21.88161872,Batch Effect (Continuing Analysis)
MF.E8.5YS#1,MF.E8.5.YS#1,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,none,none,none,000008530769_A12,A12,Kyunghee Choi,Batch29,1235343,471437,38.16,2097,,18.03905167,11.59416636,18.1393333,Total read pairs (<2million)
MF.E8.5YS#2,MF.E8.5.YS#2,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,none,none,none,000008530769_B12,B12,Kyunghee Choi,Batch29,11471455,6305499,54.97,9377,15642,46.07018589,44.95898316,24.34891905,Single replicate
MF.PC#5,MF.PC#21,Macrophage,Peritoneal,F4/80+ICAM2+,none,Choi,none,,"Tnnt2-DTR	 CCR2GFP	 Flt3-Cre	 Rosa26-tdTomato",000008530769_G12,G12,Kyunghee Choi,Batch29,13785409,8655098,62.78,11108,19609,57.2600528,60.68407148,20.82547699,
MF.PC#6,MF.PC#22,Macrophage,Peritoneal,F4/80+ICAM2+,none,Choi,none,,"Tnnt2-DTR	 CCR2GFP	 Flt3-Cre	 Rosa26-tdTomato",000008530769_H12,H12,Kyunghee Choi,Batch29,2802341,1327391,47.37,5115,,21.1406798,13.73782154,20.00922167,Num_genes>10 reads(<8000)
MF.PC#10,MF.PC#33,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,none,Choi,none,none,none,000008550669_G11,G11,Kyunghee Choi,Batch41,12816562,8290450,64.69,10432,17857,55.90961276,59.16332325,20.30254596,Replicate Analysis
MF.PC#11,MF.PC#34,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,none,Choi,none,none,none,000008550669_H11,H11,Kyunghee Choi,Batch41,17562344,11698536,66.61,11088,19089,59.94084813,64.00444954,19.57500792,Replicate Analysis
MF.PC#12,MF.PC#35,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,none,Choi,none,none,none,000008550669_A12,A12,Kyunghee Choi,Batch41,13837105,8645559,62.48,10303,17479,50.78445502,51.51302486,22.42654696,Replicate Analysis
MF.PC#13,MF.PC#36,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,none,Choi,none,none,none,000008550669_B12,B12,Kyunghee Choi,Batch41,12101332,7898347,65.27,10361,16767,54.66088654,57.48967939,21.15574596,Replicate Analysis
MF.E10.5YSR#1,MF.rep.E10.5.YS#1,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,Sort the macrophages after replating E10.5 yolk sac in methylcellulose,none,none,000008550669_G10,G10,Kyunghee Choi,Batch41,10074119,6026780,59.82,9406,15618,49.91102554,51.28644403,22.17668788,Batch Effect (Continuing Analysis)
MF.E10.5YSR#2,MF.rep.E10.5.YS#2,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,Sort the macrophages after replating E10.5 yolk sac in methylcellulose,none,none,000008550669_H10,H10,Kyunghee Choi,Batch41,14597554,9083979,62.23,10067,16847,54.69766559,57.13348416,20.88264478,Batch Effect (Continuing Analysis)
MF.E10.5YSR#3,MF.rep.E10.5.YS#3,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,Sort the macrophages after replating E10.5 yolk sac in methylcellulose,none,none,000008550669_A11,A11,Kyunghee Choi,Batch41,12558491,7731475,61.56,9731,16767,52.87542461,55.11499993,21.42777009,Batch Effect (Continuing Analysis)
MF.E10.5YSR#4,MF.rep.E10.5.YS#4,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,Sort the macrophages after replating E10.5 yolk sac in methylcellulose,none,none,000008550669_B11,B11,Kyunghee Choi,Batch41,12170059,7308935,60.06,9659,16963,51.90832785,53.78071019,22.02324924,Batch Effect (Continuing Analysis)
MF.E8.5YSR#1,MF.rep.E8.5.YS#1,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,Sort the macrophages after replating E8.5 yolk sac in methylcellulose,none,none,000008550669_C10,C10,Kyunghee Choi,Batch41,11067051,6750398,61,9467,15562,51.60483629,53.85591002,21.70223857,Batch Effect (Continuing Analysis)
MF.E8.5YSR#2,MF.rep.E8.5.YS#2,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,Sort the macrophages after replating E8.5 yolk sac in methylcellulose,none,none,000008550669_D10,D10,Kyunghee Choi,Batch41,4344220,2477102,57.02,7169,13056,39.8723684,37.85533164,22.90128276,Num_genes>10 reads(<8000)
MF.E8.5YSR#3,MF.rep.E8.5.YS#3,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,Sort the macrophages after replating E8.5 yolk sac in methylcellulose,none,none,000008550669_E10,E10,Kyunghee Choi,Batch41,15360844,9261704,60.29,10137,16899,54.65878847,57.30018949,21.24930305,Batch Effect (Continuing Analysis)
MF.E8.5YSR#4,MF.rep.E8.5.YS#4,Macrophage,yolk sac,CD11b+ F4/80+,none,Choi,Sort the macrophages after replating E8.5 yolk sac in methylcellulose,none,none,000008550669_F10,F10,Kyunghee Choi,Batch41,10372839,6143537,59.23,9313,15811,49.77886152,51.12998869,22.43527981,Batch Effect (Continuing Analysis)
DC.CD24+.CD8a+XCR1-.Sp#1,DC.24+8a+XCR1-.Sp#1,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1-,none,Dalod,none,none,none,000008530769_H09,H09,Karine Crozat,Batch29,10559736,6866594,65.03,11610,23843,59.78564042,63.49696933,19.29613338,
DC.CD24+.CD8a+XCR1-.Sp#2,DC.24+8a+XCR1-.Sp#2,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1-,none,Dalod,none,none,none,000008530769_D10,D10,Karine Crozat,Batch29,6346408,3818491,60.17,10227,18102,54.95148826,57.91070468,20.08050477,
DC.CD24+.CD8a+XCR1+.Sp#1,DC.24+8a+XCR1+.Sp#1,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1+,none,Dalod,none,none,none,000008530769_G09,G09,Karine Crozat,Batch29,12990048,8376690,64.49,11884,23749,59.70761364,63.36602691,19.28503193,
DC.CD24+.CD8a+XCR1+.Sp#2,DC.24+8a+XCR1+.Sp#2,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1+,none,Dalod,none,none,none,000008530769_C10,C10,Karine Crozat,Batch29,9071901,5792939,63.86,10329,17587,54.86286466,58.02198074,20.39516089,
DC.CD24+.CD8a-XCR1-.Sp#1,DC.24+8a-XCR1-.Sp#1,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1-,none,Dalod,none,none,none,000008530769_E09,E09,Karine Crozat,Batch29,9630466,6184862,64.22,11471,19906,57.58020924,62.17628726,20.01942331,
DC.CD24+.CD8a-XCR1-.Sp#2,DC.24+8a-XCR1-.Sp#2,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1-,none,Dalod,none,none,none,000008530769_A10,A10,Karine Crozat,Batch29,7603186,5009415,65.89,10415,17683,57.67441142,61.58076227,20.23923187,
DC.CD24+.CD8a-XCR1+.Sp#1,DC.24+8a-XCR1+.Sp#1,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1+,none,Dalod,none,none,none,000008530769_F09,F09,Karine Crozat,Batch29,10140621,6326133,62.38,11204,21430,56.88900867,60.57490684,20.20754503,
DC.CD24+.CD8a-XCR1+.Sp#2,DC.24+8a-XCR1+.Sp#2,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1+,none,Dalod,none,none,none,000008530769_B10,B10,Karine Crozat,Batch29,10571513,6978818,66.02,10838,19646,58.79342846,62.3326144,19.56382012,
pDC.RFPpos.Sp#2,DC.pDC.SigH+.64-11cint+Bst2+11b-RFP+.Sp#2,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c int Bst2+ CD11b- RFP+,none,Dalod,none,none,SiglecHCre x RosaLSLRFP,000008530769_G10,G10,Elena Tomasello,Batch29,12395646,7766664,62.66,12045,26059,59.21151551,63.07840854,19.14363796,Single replicate
pDC.RFPpos.Sp#3,DC.pDC.SigH+.64-11cint+Bst2+11b-RFP+.Sp#3,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c int Bst2+ CD11b- RFP+,none,Dalod,none,none,SiglecHCre x RosaLSLRFP,000008530769_B11,B11,Elena Tomasello,Batch29,12404733,7957132,64.15,11300,20339,59.07469317,62.57136151,19.71056736,Contamination Analysis
DC.CD11b+RFPneg.Sp#2,DC.SigH-.64-11chi+Bst2-11b+8a-RFP-.Sp#2,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP-,none,Dalod,none,none,SiglecHCre x RosaLSLRFP,000008530769_A11,A11,Elena Tomasello,Batch29,13012661,6770131,52.03,11364,19807,58.02722327,61.45804922,19.96839285,
DC.CD11b+RFPneg.Sp#3,DC.SigH-.64-11chi+Bst2-11b+8a-RFP-.Sp#3,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP-,none,Dalod,none,none,SiglecHCre x RosaLSLRFP,000008530769_D11,D11,Elena Tomasello,Batch29,6680718,4035832,60.41,10081,18888,50.97171871,53.79079274,20.66501687,
DC.CD11b+RFPpos.Sp#2,DC.SigH-.64-11chi+Bst2-11b+8a-RFP+.Sp#2,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP+,none,Dalod,none,none,SiglecHCre x RosaLSLRFP,000008530769_H10,H10,Elena Tomasello,Batch29,9062815,6030417,66.54,11298,23536,55.9343568,59.30351691,20.07059879,
DC.CD11b+RFPpos.Sp#3,DC.SigH-.64-11chi+Bst2-11b+8a-RFP+.Sp#3,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP+,none,Dalod,none,none,SiglecHCre x RosaLSLRFP,000008530769_C11,C11,Elena Tomasello,Batch29,10869070,6114332,56.25,10879,21249,52.74147265,55.7691516,20.40064034,
MF.ICAM2+F4/80+.PC#3,MF.PC#09,Macrophage,Peritoneal Cavity,LiveDead-F4/80+ICAM-2+,none,Dalod,none,none,none,000008530769_E10,E10,Karine Crozat,Batch29,11656368,7325421,62.84,10813,19037,57.60302684,61.03786399,19.67946417,
MF.ICAM2+F4/80+.PC#4,MF.PC#10,Macrophage,Peritoneal Cavity,LiveDead-F4/80+ICAM-2+,none,Dalod,none,none,none,000008530769_F10,F10,Karine Crozat,Batch29,12745689,8147569,63.92,10966,19965,58.03375327,61.76965459,19.67841773,
