SampleName,ImmGen.Nomenclature,Population,Cell.Family,Organ,Sorting.Markers,Lab,Note,sample.id,Well,Owner,Batch,Total.read.pairs,Uniquely.mapped.pairs,Uniquely.mapped.pct,Num.genes.over.ten,Num.genes.over.zero,TIN.mean,TIN.median,TIN.stdev
MF.PC#8,MF.PC.45,MF.PC,Macrophage,Peritoneal Cavity,"F4/80	 ICAM2",Angeli,none,000008544769_C02,C02,Veronique Angeli,36,15247940,10059462,65.97,10729,17859,58.23038971,62.21923395,19.54166709
MF.PC#9,MF.PC.46,MF.PC,Macrophage,Peritoneal Cavity,"F4/80	 ICAM2",Angeli,none,000008544769_D02,D02,Veronique Angeli,36,11449500,7232148,63.17,10039,16711,53.80389322,56.57836023,20.62045336
MF.6Clo.BM#4,MF.6Clo.BM.4,MF.6Clo.BM,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,Blander,none,000008550869_F11,F11,Baosen Jia,42,7755349,5551603,71.58,10636,16039,60.93904832,65.88542086,21.76507203
MF.6Clo.BM#5,MF.6Clo.BM.5,MF.6Clo.BM,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,Blander,none,000008550869_G11,G11,Baosen Jia,42,9656084,6805664,70.48,10943,16000,62.561644,68.01077506,21.50482473
MF.6Clo.BM#6,MF.6Clo.BM.6,MF.6Clo.BM,Macrophage,Bone Marrow,CD3-CD19-Ter119-Ly6CloCD11blockit-F4/80+,Blander,none,000008550869_H11,H11,Baosen Jia,42,5886952,4116289,69.92,9838,14998,57.97875139,62.72984214,23.14386553
F.PC#1,MF.F.PC.1,MF.F.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,000008555669_E04,E04,Kumba Seddu,43,12344221,7894050,63.95,10044,15706,54.2767602,57.17939287,20.29729074
F.PC#2,MF.F.PC.2,MF.F.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,000008555669_F04,F04,Kumba Seddu,43,20109770,13236438,65.82,11581,19116,60.65487711,64.53448366,18.80552339
F.PC#3,MF.F.PC.3,MF.F.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,000008555669_G04,G04,Kumba Seddu,43,8416877,5296525,62.93,9711,15786,51.4328721,53.58835918,20.67881649
MF.PC#b3,MF.PC.47,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,SSF1856_A11,A11,CBDM,21,11131170,7388116,66.37,11139,16715,58.73549755,63.41531921,20.96305446
MF.PC#b4,MF.PC.48,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,SSF1857_H10,H10,CBDM,21,5295651,3503292,66.15,9884,16822,52.03176857,54.02595001,20.48360848
MF.Pc.Listeria.ip.Day0#1,MF.PC.49,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,000008508569_B01,B01,Yiqing Qi,24,10409028,6778238,65,11053,NA,61.42489249,65.95344021,18.75472796
MF.Pc.Listeria.ip.Day0#2,MF.PC.50,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,000008508569_E02,E02,Yiqing Qi,24,10675517,6838730,64,11233,NA,60.90250029,65.16867972,18.87127062
M.PC#1,MF.PC.51,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,000008555669_B04,B04,Kumba Seddu,43,13033396,8413573,64.55,10511,17242,53.98487991,56.52176446,20.43889819
M.PC#2,MF.PC.52,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+ CD3- CD19- Ter119-,CBDM,none,000008555669_C04,C04,Kumba Seddu,43,16999877,11166856,65.69,11037,17918,59.1414056,62.90704969,19.38142631
EMP.E10.5YS#1,EMP.E10.5.YS.1,EMP.E10.5.YS,Macrophage,yolk sac,c-kit+ CD41+ CD16/32+,Choi,none,000008530769_E12,E12,Kyunghee Choi,29,10613036,5648404,53.22,10350,17538,55.17673507,58.71386627,21.94263739
EMP.E10.5YS#2,EMP.E10.5.YS.2,EMP.E10.5.YS,Macrophage,yolk sac,c-kit+ CD41+ CD16/32+,Choi,none,000008530769_F12,F12,Kyunghee Choi,29,10366917,5567652,53.71,10235,17446,54.86311709,58.64358757,22.25063406
MF.D6EB#1,MF.d6.EB.1,MF.d6.EB,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,Choi,none,000008530769_E11,E11,Kyunghee Choi,29,12898688,7300959,56.6,10188,16621,55.04325569,57.99483962,21.0187739
MF.D6EB#2,MF.d6.EB.2,MF.d6.EB,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,Choi,none,000008530769_F11,F11,Kyunghee Choi,29,15268106,8833424,57.86,10455,17190,56.67501204,59.98930264,20.3910069
MF.D8EB#1,MF.d8.EB.1,MF.d8.EB,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,Choi,none,000008530769_G11,G11,Kyunghee Choi,29,13022193,7532815,57.85,10099,16112,54.03893208,57.04754887,21.0800687
MF.D8EB#2,MF.d8.EB.2,MF.d8.EB,Macrophage,Cell (Embryonic Body),CD11b+ F4/80+,Choi,none,000008530769_H11,H11,Kyunghee Choi,29,11523680,6512261,56.51,9570,16228,48.95875033,50.08730761,22.54322683
MF.PC#5,MF.PC.21,MF.PC,Macrophage,Peritoneal,F4/80+ICAM2+,Choi,none,000008530769_G12,G12,Kyunghee Choi,29,13785409,8655098,62.78,11108,19609,57.2600528,60.68407148,20.82547699
DC.CD24+.CD8a+XCR1-.Sp#1,DC.24p8apXCR1n.Sp.1,DC.24p8apXCR1n.Sp,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1-,Dalod,none,000008530769_H09,H09,Karine Crozat,29,10559736,6866594,65.03,11610,23843,59.78564042,63.49696933,19.29613338
DC.CD24+.CD8a+XCR1-.Sp#2,DC.24p8apXCR1n.Sp.2,DC.24p8apXCR1n.Sp,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1-,Dalod,none,000008530769_D10,D10,Karine Crozat,29,6346408,3818491,60.17,10227,18102,54.95148826,57.91070468,20.08050477
DC.CD24+.CD8a+XCR1+.Sp#1,DC.24p8apXCR1p.Sp.1,DC.24p8apXCR1p.Sp,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1+,Dalod,none,000008530769_G09,G09,Karine Crozat,29,12990048,8376690,64.49,11884,23749,59.70761364,63.36602691,19.28503193
DC.CD24+.CD8a+XCR1+.Sp#2,DC.24p8apXCR1p.Sp.2,DC.24p8apXCR1p.Sp,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1+,Dalod,none,000008530769_C10,C10,Karine Crozat,29,9071901,5792939,63.86,10329,17587,54.86286466,58.02198074,20.39516089
DC.CD24+.CD8a-XCR1-.Sp#1,DC.24p8anXCR1n.Sp.1,DC.24p8anXCR1n.Sp,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1-,Dalod,none,000008530769_E09,E09,Karine Crozat,29,9630466,6184862,64.22,11471,19906,57.58020924,62.17628726,20.01942331
DC.CD24+.CD8a-XCR1-.Sp#2,DC.24p8anXCR1n.Sp.2,DC.24p8anXCR1n.Sp,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1-,Dalod,none,000008530769_A10,A10,Karine Crozat,29,7603186,5009415,65.89,10415,17683,57.67441142,61.58076227,20.23923187
DC.CD24+.CD8a-XCR1+.Sp#1,DC.24p8anXCR1p.Sp.1,DC.24p8anXCR1p.Sp,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1+,Dalod,none,000008530769_F09,F09,Karine Crozat,29,10140621,6326133,62.38,11204,21430,56.88900867,60.57490684,20.20754503
DC.CD24+.CD8a-XCR1+.Sp#2,DC.24p8anXCR1p.Sp.2,DC.24p8anXCR1p.Sp,Dendritic Cell,Spleen,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1+,Dalod,none,000008530769_B10,B10,Karine Crozat,29,10571513,6978818,66.02,10838,19646,58.79342846,62.3326144,19.56382012
DC.CD11b+RFPneg.Sp#2,DC.SigHn.64n11chipBst2n11bp8anRFPn.Sp.2,DC.SigHn.64n11chipBst2n11bp8anRFPn.Sp,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP-,Dalod,none,000008530769_A11,A11,Elena Tomasello,29,13012661,6770131,52.03,11364,19807,58.02722327,61.45804922,19.96839285
DC.CD11b+RFPneg.Sp#3,DC.SigHn.64n11chipBst2n11bp8anRFPn.Sp.3,DC.SigHn.64n11chipBst2n11bp8anRFPn.Sp,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP-,Dalod,none,000008530769_D11,D11,Elena Tomasello,29,6680718,4035832,60.41,10081,18888,50.97171871,53.79079274,20.66501687
DC.CD11b+RFPpos.Sp#2,DC.SigHn.64n11chipBst2n11bp8anRFPp.Sp.2,DC.SigHn.64n11chipBst2n11bp8anRFPp.Sp,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP+,Dalod,none,000008530769_H10,H10,Elena Tomasello,29,9062815,6030417,66.54,11298,23536,55.9343568,59.30351691,20.07059879
DC.CD11b+RFPpos.Sp#3,DC.SigHn.64n11chipBst2n11bp8anRFPp.Sp.3,DC.SigHn.64n11chipBst2n11bp8anRFPp.Sp,Dendritic Cell,Spleen,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP+,Dalod,none,000008530769_C11,C11,Elena Tomasello,29,10869070,6114332,56.25,10879,21249,52.74147265,55.7691516,20.40064034
MF.ICAM2+F4/80+.PC#3,MF.PC.09,MF.PC,Macrophage,Peritoneal Cavity,LiveDead-F4/80+ICAM-2+,Dalod,none,000008530769_E10,E10,Karine Crozat,29,11656368,7325421,62.84,10813,19037,57.60302684,61.03786399,19.67946417
MF.ICAM2+F4/80+.PC#4,MF.PC.10,MF.PC,Macrophage,Peritoneal Cavity,LiveDead-F4/80+ICAM-2+,Dalod,none,000008530769_F10,F10,Karine Crozat,29,12745689,8147569,63.92,10966,19965,58.03375327,61.76965459,19.67841773
DC.Lin-CD11c+MHCII+XCR1+SIRPa-.Th.#1,DC.XCR1pSIRPan.Th.1,DC.XCR1pSIRPan.Th,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1+SIRPa-,Dzhagalov,none,000008530569_H08,H08,Ivan Dzhagalov,28,13878602,9441914,68.03,11402,17896,65.09631187,70.11832174,18.93765083
DC.Lin-CD11c+MHCII+XCR1+SIRPa-.Th.#2,DC.XCR1pSIRPan.Th.2,DC.XCR1pSIRPan.Th,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1+SIRPa-,Dzhagalov,none,000008530569_A09,A09,Ivan Dzhagalov,28,14491616,9620574,66.39,11824,23017,63.61522443,67.70301628,18.27275243
DC.Lin-CD11c+MHCII+XCR1+SIRPa-.Th.#3,DC.XCR1pSIRPan.Th.3,DC.XCR1pSIRPan.Th,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1+SIRPa-,Dzhagalov,none,000008530569_B09,B09,Ivan Dzhagalov,28,15865347,10857613,68.44,11895,21400,65.71040527,70.63421237,18.23620108
DC.Lin-CD11c+MHCII+XCR1+SIRPa-.Th.#4,DC.XCR1pSIRPan.Th.4,DC.XCR1pSIRPan.Th,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1+SIRPa-,Dzhagalov,none,000008530569_C09,C09,Ivan Dzhagalov,28,12912344,8771062,67.93,11451,19558,64.26778799,68.86768591,18.48657519
DC.Lin-CD11c+MHCII+XCR1-SIRPa+.Th.#1,DC.XCR1nSIRPap.Th.1,DC.XCR1nSIRPap.Th,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1-SIRPa+,Dzhagalov,none,000008530569_D09,D09,Ivan Dzhagalov,28,10283934,7017587,68.24,11512,19935,63.61220046,68.00593816,18.23958021
DC.Lin-CD11c+MHCII+XCR1-SIRPa+.Th.#2,DC.XCR1nSIRPap.Th.2,DC.XCR1nSIRPap.Th,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1-SIRPa+,Dzhagalov,none,000008530569_E09,E09,Ivan Dzhagalov,28,15752615,10698079,67.91,12264,19386,66.96278396,71.80158063,17.72300272
DC.Lin-CD11c+MHCII+XCR1-SIRPa+.Th.#3,DC.XCR1nSIRPap.Th.3,DC.XCR1nSIRPap.Th,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1-SIRPa+,Dzhagalov,none,000008530569_F09,F09,Ivan Dzhagalov,28,14773491,9998143,67.68,12362,20472,66.06132251,70.71912471,17.84420868
DC.Lin-CD11c+MHCII+XCR1-SIRPa+.Th.#4,DC.XCR1nSIRPap.Th.4,DC.XCR1nSIRPap.Th,Dendritic Cell,Thymus,Lin-CD11c+MHCII+XCR1-SIRPa+,Dzhagalov,none,000008530569_G09,G09,Ivan Dzhagalov,28,16617191,10580665,63.67,12739,22289,63.21867234,66.41664241,17.09208445
MF.Lin-CD45+F4/80+CD64+.Th.#1,MF.64p.Th.1,MF.64p.Th,Macrophage,Thymus,Lin-F4/80+CD64+,Dzhagalov,none,000008530569_D08,D08,Ivan Dzhagalov,28,10110183,6846703,67.72,10996,18467,61.96670666,66.54896765,18.88395801
MF.Lin-CD45+F4/80+CD64+.Th.#2,MF.64p.Th.2,MF.64p.Th,Macrophage,Thymus,Lin-F4/80+CD64+,Dzhagalov,none,000008530569_E08,E08,Ivan Dzhagalov,28,15138975,10362118,68.45,11705,18936,65.18270118,69.88434434,18.14410468
MF.Lin-CD45+F4/80+CD64+.Th.#3,MF.64p.Th.3,MF.64p.Th,Macrophage,Thymus,Lin-F4/80+CD64+,Dzhagalov,none,000008530569_F08,F08,Ivan Dzhagalov,28,15019927,10648031,70.89,11915,19237,64.96434618,69.79080654,17.90715655
MF.Lin-CD45+F4/80+CD64+.Th.#4,MF.64p.Th.4,MF.64p.Th,Macrophage,Thymus,Lin-F4/80+CD64+,Dzhagalov,none,000008530569_G08,G08,Ivan Dzhagalov,28,13876402,10041638,72.36,11707,18381,64.16504008,68.35371183,18.10696591
MF.F4/80+ICAM2+.PC.#1,MF.PC.03,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,Dzhagalov,none,000008530569_H07,H07,Ivan Dzhagalov,28,14216054,9665954,67.99,11837,19234,64.19921171,68.39339878,18.07875792
MF.F4/80+ICAM2+.PC.#2,MF.PC.04,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,Dzhagalov,none,000008530569_A08,A08,Ivan Dzhagalov,28,19322855,12703115,65.74,12589,21117,64.43589519,69.22828786,18.70846527
MF.F4/80+ICAM2+.PC.#3,MF.PC.05,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,Dzhagalov,none,000008530569_B08,B08,Ivan Dzhagalov,28,18146849,12262924,67.58,12212,18243,65.19566866,70.09370962,18.33450902
MF.F4/80+ICAM2+.PC.#4,MF.PC.06,MF.PC,Macrophage,Peritoneal Cavity,F4/80+ ICAM2+,Dzhagalov,none,000008530569_C08,C08,Ivan Dzhagalov,28,14648977,9927431,67.77,11730,18744,64.59202604,69.36332602,18.42957897
MF.T0.M.PC#1,MF.115pICAM2p226n6Cn.PC.1,MF.115pICAM2p226n6Cn.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ ICAM2+ CD226-Ly-6C-,Gautier,none,000008527969_F08,F08,Emmanuel Gautier,27,12869080,8837646,68.67,11118,16575,62.4604907,67.0032226,18.31959719
MF.T0.M.PC#2,MF.115pICAM2p226n6Cn.PC.2,MF.115pICAM2p226n6Cn.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ ICAM2+ CD226-Ly-6C-,Gautier,none,000008527969_G08,G08,Emmanuel Gautier,27,13636404,9718542,71.27,11397,17130,62.8382288,67.36766195,18.38207253
MF.T0.M.PC#3,MF.115pICAM2p226n6Cn.PC.3,MF.115pICAM2p226n6Cn.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ ICAM2+ CD226-Ly-6C-,Gautier,none,000008527969_H08,H08,Emmanuel Gautier,27,9300764,6525395,70.16,10477,15969,57.32522756,61.3296316,19.91541043
MF.T72.M.PC#1,MF.115p36p6ClopICAM2n226n.Thio.72h.PC.1,MF.115p36p6ClopICAM2n226n.Thio.72h.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Gautier,none,000008527969_E10,E10,Emmanuel Gautier,27,13596361,9651441,70.99,10921,16282,62.34238984,66.58566826,18.3904044
MF.T72.M.PC#2,MF.115p36p6ClopICAM2n226n.Thio.72h.PC.2,MF.115p36p6ClopICAM2n226n.Thio.72h.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Gautier,none,000008527969_F10,F10,Emmanuel Gautier,27,11849381,8288486,69.95,10704,16275,60.19261371,64.22192556,18.72045387
MF.T72.M.PC#3,MF.115p36p6ClopICAM2n226n.Thio.72h.PC.3,MF.115p36p6ClopICAM2n226n.Thio.72h.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Gautier,none,000008527969_G10,G10,Emmanuel Gautier,27,11603952,7950165,68.51,10610,15900,59.71047566,63.91376642,19.37621943
MF.T24.M.PC#1,MF.115p36p6ClopICAM2n226n.Thio.24h.PC.1,MF.115p36p6ClopICAM2n226n.Thio.24h.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Gautier,none,000008527969_B10,B10,Emmanuel Gautier,27,9866311,6983412,70.78,10672,16972,59.41571367,63.55574702,19.11906683
MF.T24.M.PC#2,MF.115p36p6ClopICAM2n226n.Thio.24h.PC.2,MF.115p36p6ClopICAM2n226n.Thio.24h.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Gautier,none,000008527969_C10,C10,Emmanuel Gautier,27,15145105,9153799,60.44,11116,16739,62.08465833,66.55566622,18.49743069
MF.T24.M.PC#3,MF.115p36p6ClopICAM2n226n.Thio.24h.PC.3,MF.115p36p6ClopICAM2n226n.Thio.24h.PC,Macrophage,Peritoneal Cavity,CD45+ CD11b+ CD115+ CD36+ Ly-6Clo ICAM2- CD226-,Gautier,none,000008527969_D10,D10,Emmanuel Gautier,27,6605888,4210537,63.74,9854,15073,56.02768568,59.59365704,19.45659694
Mo.T24.M.PC#1,Mo.115p6Cp36lopICAM2n226n.Thio.24h.PC.1,Mo.115p6Cp36lopICAM2n226n.Thio.24h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ CD36lo ICAM2- CD226-,Gautier,none,000008527969_G09,G09,Emmanuel Gautier,27,11759750,8302421,70.6,10751,15308,59.32911435,63.37758097,19.54271469
Mo.T24.M.PC#2,Mo.115p6Cp36lopICAM2n226n.Thio.24h.PC.2,Mo.115p6Cp36lopICAM2n226n.Thio.24h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ CD36lo ICAM2- CD226-,Gautier,none,000008527969_H09,H09,Emmanuel Gautier,27,9035607,6491563,71.84,10306,15540,57.61691416,61.5249895,19.76327588
Mo.T24.M.PC#3,Mo.115p6Cp36lopICAM2n226n.Thio.24h.PC.3,Mo.115p6Cp36lopICAM2n226n.Thio.24h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ CD36lo ICAM2- CD226-,Gautier,none,000008527969_A10,A10,Emmanuel Gautier,27,9261088,6448996,69.64,10389,15965,56.4057744,60.2514315,20.58152265
Mo.T4.M.PC#1,Mo.115pICAM2n226n6Cn.Thio.4h.PC.1,Mo.115pICAM2n226n6Cn.Thio.4h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Gautier,none,000008527969_A09,A09,Emmanuel Gautier,27,12238712,8784816,71.78,10643,16315,54.62870726,58.45856173,20.89600266
Mo.T4.M.PC#2,Mo.115pICAM2n226n6Cn.Thio.4h.PC.2,Mo.115pICAM2n226n6Cn.Thio.4h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Gautier,none,000008527969_B09,B09,Emmanuel Gautier,27,13416013,9388851,69.98,10781,16717,59.07120235,63.71816337,20.09809077
Mo.T4.M.PC#3,Mo.115pICAM2n226n6Cn.Thio.4h.PC.3,Mo.115pICAM2n226n6Cn.Thio.4h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Gautier,none,000008527969_C09,C09,Emmanuel Gautier,27,12636474,7999899,63.31,10251,15727,60.00836164,64.48827525,19.82152831
Mo.T8.M.PC#1,Mo.115pICAM2n226n6Cn.Thio.8h.PC.1,Mo.115pICAM2n226n6Cn.Thio.8h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Gautier,none,000008527969_D09,D09,Emmanuel Gautier,27,7303077,3498389,47.9,8837,14413,47.40876521,48.32701331,21.26069697
Mo.T8.M.PC#2,Mo.115pICAM2n226n6Cn.Thio.8h.PC.2,Mo.115pICAM2n226n6Cn.Thio.8h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Gautier,none,000008527969_E09,E09,Emmanuel Gautier,27,12666343,7384936,58.3,10060,15317,58.91597905,63.68979043,19.94697218
Mo.T8.M.PC#3,Mo.115pICAM2n226n6Cn.Thio.8h.PC.3,Mo.115pICAM2n226n6Cn.Thio.8h.PC,Monocyte,Peritoneal Cavity,CD45+ CD11b+ CD115+ Ly-6C+ ICAM2- CD226-,Gautier,none,000008527969_F09,F09,Emmanuel Gautier,27,12038858,7402256,61.49,10155,15984,58.8435991,62.98908945,19.88919539
Mo.T0.M.Bl#1,Mo.6Cp.Bl.6,Mo.6Cp.Bl,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_G06,G06,Emmanuel Gautier,27,13740565,7892716,57.44,10714,17075,60.83803209,65.30002335,19.10795526
Mo.T0.M.Bl#2,Mo.6Cp.Bl.7,Mo.6Cp.Bl,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_H06,H06,Emmanuel Gautier,27,9386440,6413175,68.32,10447,16277,57.2739852,61.00101876,19.8954555
Mo.T0.M.Bl#3,Mo.6Cp.Bl.8,Mo.6Cp.Bl,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_A07,A07,Emmanuel Gautier,27,13054535,9308511,71.3,11367,16245,60.15933754,64.39517467,19.26841601
Mo.T24.Thio.M.Bl#1,Mo.6Cp.Thio.24h.BI.1,Mo.6Cp.Thio.24h.BI,Monocyte,Blood,CD45+ CD11b+ CD115+ Ly-6C+,Gautier,none,000008527969_H07,H07,Emmanuel Gautier,27,9287072,6574139,70.79,10665,16299,59.20868919,62.94299967,19.3767371
